Date: 21-22 MAR 2004
Tropical Storm GRACE
ADV  LAT    LON      TIME     WIND  PR  STAT
  1 -19.70  155.00 03/21/18Z   35     - TROPICAL STORM
  2 -20.30  155.90 03/22/06Z   30     - TROPICAL DEPRESSION
  3 -21.60  158.10 03/22/18Z   25     - TROPICAL DEPRESSION
