Date: 04-04 FEB 2007
Tropical Storm 11P
ADV  LAT    LON      TIME     WIND  PR  STAT
  1 -14.80  177.30 02/04/00Z   35     - TROPICAL STORM
  2 -17.90 -178.60 02/04/12Z   35     - TROPICAL STORM
