Date: 12-15 DEC 2009
Cyclone-1 MICK
ADV  LAT    LON      TIME     WIND  PR  STAT
  1 -13.30  175.50 12/12/12Z   35     - TROPICAL STORM
  2 -14.30  175.60 12/13/00Z   45     - TROPICAL STORM
  3 -15.60  176.50 12/13/12Z   55     - TROPICAL STORM
  4 -17.50  177.70 12/14/00Z   65     - CYCLONE-1
  5 -18.50  178.70 12/14/12Z   55     - TROPICAL STORM
  6 -19.10  179.80 12/15/00Z   40     - TROPICAL STORM
  7 -19.90 -177.90 12/15/12Z   35     - TROPICAL STORM
