Date: 28-29 JAN 2009
Tropical Storm HETTIE
ADV  LAT    LON      TIME     WIND  PR  STAT
  1 -21.70 -177.50 01/28/12Z   35     - TROPICAL STORM
  2 -22.50 -177.80 01/29/00Z   30     - TROPICAL DEPRESSION
