Date: 21-22 FEB 2017
Tropical Storm BART
ADV  LAT    LON      TIME     WIND  PR  STAT
  2 -21.80 -162.30 02/21/12Z   40     - TROPICAL STORM
  3 -25.30 -156.80 02/22/00Z   35     - TROPICAL STORM
