Date: 30 NOV-01 DEC 2006
Tropical Storm 04P
ADV  LAT    LON      TIME     WIND  PR  STAT
  1  -7.70  164.00 11/30/12Z   35     - TROPICAL STORM
  2  -8.10  163.60 11/30/18Z   35     - TROPICAL STORM
  3 -11.20  164.70 12/01/06Z   35     - TROPICAL STORM
  4 -12.40  165.00 12/01/18Z   35     - TROPICAL STORM
