Date: 12-12 MAR 2003
Tropical Storm CRAIG
ADV  LAT    LON      TIME     WIND  PR  STAT
  8 -13.90  139.50 03/12/06Z   35     - TROPICAL STORM
  9 -16.30  142.00 03/12/18Z   30     - TROPICAL DEPRESSION
 9A -16.30  142.00 03/12/18Z   30     - TROPICAL DEPRESSION
 9B -16.30  142.00 03/12/18Z   30     - TROPICAL DEPRESSION
